model_code,assumption_code,value
small_dental_clinic_model,rent_monthly,12000
small_dental_clinic_model,salaries_monthly,22000
small_dental_clinic_model,marketing_monthly,4000
small_dental_clinic_model,utilities_monthly,1800
small_dental_clinic_model,insurance_monthly,1200
small_dental_clinic_model,license_cost_one_time,20000
small_dental_clinic_model,equipment_cost_one_time,150000
small_dental_clinic_model,decoration_cost_one_time,60000
small_dental_clinic_model,revenue_per_visit,550
small_dental_clinic_model,visits_per_month,120
small_dental_clinic_model,cogs_percent,15
small_dental_clinic_model,tax_rate,20
small_dental_clinic_model,growth_rate,7
small_dental_clinic_model,discount_rate,10
medium_dental_clinic_model,rent_monthly,25000
medium_dental_clinic_model,salaries_monthly,45000
medium_dental_clinic_model,marketing_monthly,8000
medium_dental_clinic_model,utilities_monthly,3500
medium_dental_clinic_model,insurance_monthly,2500
medium_dental_clinic_model,license_cost_one_time,30000
medium_dental_clinic_model,equipment_cost_one_time,350000
medium_dental_clinic_model,decoration_cost_one_time,120000
medium_dental_clinic_model,revenue_per_visit,650
medium_dental_clinic_model,visits_per_month,250
medium_dental_clinic_model,cogs_percent,15
medium_dental_clinic_model,tax_rate,20
medium_dental_clinic_model,growth_rate,8
medium_dental_clinic_model,discount_rate,10
large_dental_clinic_model,rent_monthly,60000
large_dental_clinic_model,salaries_monthly,120000
large_dental_clinic_model,marketing_monthly,20000
large_dental_clinic_model,utilities_monthly,9000
large_dental_clinic_model,insurance_monthly,6000
large_dental_clinic_model,license_cost_one_time,60000
large_dental_clinic_model,equipment_cost_one_time,900000
large_dental_clinic_model,decoration_cost_one_time,350000
large_dental_clinic_model,revenue_per_visit,750
large_dental_clinic_model,visits_per_month,600
large_dental_clinic_model,cogs_percent,15
large_dental_clinic_model,tax_rate,20
large_dental_clinic_model,growth_rate,9
large_dental_clinic_model,discount_rate,10
